t,vwl,vblb,vbl
3.326E-9,0.000,578.7E-3,999.1E-3
3.352E-9,0.000,567.3E-3,999.1E-3
3.375E-9,0.000,557.0E-3,999.1E-3
3.407E-9,0.000,542.9E-3,999.0E-3
3.444E-9,0.000,526.5E-3,999.0E-3
3.477E-9,0.000,511.9E-3,999.0E-3
3.513E-9,0.000,496.2E-3,999.0E-3
3.552E-9,0.000,479.5E-3,999.0E-3
3.592E-9,0.000,462.5E-3,999.0E-3
3.634E-9,0.000,445.0E-3,999.0E-3
3.676E-9,0.000,427.2E-3,999.0E-3
3.718E-9,0.000,410.0E-3,999.0E-3
3.761E-9,0.000,392.7E-3,999.0E-3
3.802E-9,0.000,376.4E-3,999.0E-3
3.842E-9,0.000,360.5E-3,999.0E-3
3.881E-9,0.000,345.6E-3,999.0E-3
3.918E-9,0.000,331.4E-3,999.0E-3
3.953E-9,0.000,318.2E-3,999.0E-3
3.987E-9,0.000,305.7E-3,998.9E-3
4.020E-9,0.000,294.1E-3,998.9E-3
4.051E-9,0.000,283.2E-3,998.9E-3
4.081E-9,0.000,272.8E-3,998.9E-3
4.109E-9,0.000,263.1E-3,998.9E-3
4.138E-9,0.000,253.7E-3,998.9E-3
4.165E-9,0.000,244.8E-3,998.9E-3
4.182E-9,0.000,239.2E-3,998.9E-3
4.200E-9,0.000,233.7E-3,998.9E-3
4.200E-9,2.129E-3,233.7E-3,998.9E-3
4.200E-9,3.685E-3,233.7E-3,998.9E-3
4.200E-9,6.798E-3,233.7E-3,998.9E-3
4.200E-9,13.02E-3,233.7E-3,998.9E-3
4.200E-9,25.48E-3,233.7E-3,998.9E-3
4.200E-9,50.38E-3,233.6E-3,998.9E-3
4.201E-9,100.2E-3,233.6E-3,998.9E-3
4.201E-9,183.5E-3,233.4E-3,999.0E-3
4.201E-9,266.9E-3,233.3E-3,999.0E-3
4.202E-9,350.2E-3,233.2E-3,999.0E-3
4.202E-9,433.5E-3,233.1E-3,999.0E-3
4.203E-9,516.9E-3,232.9E-3,999.1E-3
4.203E-9,600.2E-3,232.8E-3,999.1E-3
4.203E-9,683.5E-3,232.6E-3,999.1E-3
4.204E-9,766.9E-3,232.5E-3,999.1E-3
4.204E-9,850.2E-3,232.3E-3,999.2E-3
4.205E-9,933.5E-3,232.1E-3,999.2E-3
4.205E-9,1.000,231.9E-3,999.2E-3
4.205E-9,1.000,231.9E-3,999.2E-3
4.205E-9,1.000,231.9E-3,999.2E-3
4.205E-9,1.000,231.9E-3,999.2E-3
4.205E-9,1.000,231.8E-3,999.2E-3
4.206E-9,1.000,231.7E-3,999.2E-3
4.206E-9,1.000,231.4E-3,999.2E-3
4.207E-9,1.000,230.9E-3,999.2E-3
4.208E-9,1.000,230.4E-3,999.2E-3
4.209E-9,1.000,229.8E-3,999.2E-3
4.210E-9,1.000,229.2E-3,999.2E-3
4.212E-9,1.000,228.4E-3,999.2E-3
4.214E-9,1.000,227.5E-3,999.2E-3
4.216E-9,1.000,226.4E-3,999.2E-3
4.219E-9,1.000,224.7E-3,999.2E-3
4.224E-9,1.000,222.6E-3,999.2E-3
4.228E-9,1.000,220.2E-3,999.2E-3
4.234E-9,1.000,217.7E-3,999.2E-3
4.243E-9,1.000,213.5E-3,999.2E-3
4.253E-9,1.000,208.6E-3,999.2E-3
4.264E-9,1.000,203.5E-3,999.2E-3
4.276E-9,1.000,197.7E-3,999.2E-3
4.290E-9,1.000,191.5E-3,999.2E-3
4.305E-9,1.000,185.2E-3,999.2E-3
